Replicate;Typ;Sample;Col;1;2;3;Dilution;Worms;MT;Set
1;W;12;W;8;8;5;4;20;MT12*;MT12*+MTdT
1;S;12;W;4;12;9;2;20;MT12*;MT12*+MTdT
1;W;12;dT;0;0;0;4;20;MTdT;MT12*+MTdT
1;S;12;dT;0;1;1;2;20;MTdT;MT12*+MTdT
1;W;13;W;13;20;27;2;20;MT22;MT22+MTdT
1;S;13;W;2;0;0;2;20;MT22;MT22+MTdT
1;W;13;dT;6;8;5;2;20;MTdT;MT22+MTdT
1;S;13;dT;1;0;0;2;20;MTdT;MT22+MTdT
1;W;14;AL;4;4;4;4;20;MT48;MT48+MTdT
1;S;14;AL;4;5;6;3;20;MT48;MT48+MTdT
1;W;14;dT;8;14;12;4;20;MTdT;MT48+MTdT
1;S;14;dT;5;8;12;3;20;MTdT;MT48+MTdT
1;W;15;W;3;2;8;4;20;SBW25F*;SBW25+SBW25F*
1;S;15;W;28;37;28;2;20;SBW25F*;SBW25+SBW25F*
1;W;15;AL;1;1;2;4;20;SBW25;SBW25+SBW25F*
1;S;15;AL;8;11;19;2;20;SBW25;SBW25+SBW25F*
1;W;16;AL;3;3;1;4;20;MT48;MT12S+MT48
1;S;16;AL;2;0;2;3;20;MT48;MT12S+MT48
1;W;16;dT;3;1;3;4;20;MT12S;MT12S+MT48
1;S;16;dT;2;1;2;3;20;MT12S;MT12S+MT48
2;W;12;W;13;12;21;3;20;MT12*;MT12*+MTdT
2;S;12;W;13;17;14;2;20;MT12*;MT12*+MTdT
2;W;12;dT;3;3;3;3;20;MTdT;MT12*+MTdT
2;S;12;dT;4;4;4;2;20;MTdT;MT12*+MTdT
2;W;13;W;24;28;20;3;20;MT22;MT22+MTdT
2;S;13;W;22;33;25;2;20;MT22;MT22+MTdT
2;W;13;dT;2;5;2;3;20;MTdT;MT22+MTdT
2;S;13;dT;11;11;15;2;20;MTdT;MT22+MTdT
2;W;14;AL;3;0;0;4;20;MT48;MT48+MTdT
2;S;14;AL;0;2;1;3;20;MT48;MT48+MTdT
2;W;14;dT;2;2;2;4;20;MTdT;MT48+MTdT
2;S;14;dT;1;4;2;3;20;MTdT;MT48+MTdT
2;W;15;W;17;6;9;4;20;SBW25F*;SBW25+SBW25F*
2;S;15;W;7;14;9;2;20;SBW25F*;SBW25+SBW25F*
2;W;15;AL;1;2;2;4;20;SBW25;SBW25+SBW25F*
2;S;15;AL;2;2;2;2;20;SBW25;SBW25+SBW25F*
2;W;16;AL;3;7;5;4;20;MT48;MT12S+MT48
2;S;16;AL;5;4;2;3;20;MT48;MT12S+MT48
2;W;16;dT;1;4;6;4;20;MT12S;MT12S+MT48
2;S;16;dT;7;3;3;3;20;MT12S;MT12S+MT48
3;W;12;W;36;36;42;3;20;MT12*;MT12*+MTdT
3;S;12;W;28;37;35;2;20;MT12*;MT12*+MTdT
3;W;12;dT;0;0;1;3;20;MTdT;MT12*+MTdT
3;S;12;dT;2;0;1;2;20;MTdT;MT12*+MTdT
3;W;13;W;53;64;65;4;20;MT22;MT22+MTdT
3;S;13;W;40;39;39;3;20;MT22;MT22+MTdT
3;W;13;dT;1;2;3;4;20;MTdT;MT22+MTdT
3;S;13;dT;3;2;3;3;20;MTdT;MT22+MTdT
3;W;14;AL;8;11;9;2;20;MT48;MT48+MTdT
3;S;14;AL;3;2;1;2;20;MT48;MT48+MTdT
3;W;14;dT;10;4;7;2;20;MTdT;MT48+MTdT
3;S;14;dT;4;2;1;2;20;MTdT;MT48+MTdT
3;W;15;W;5;7;1;3;20;SBW25F*;SBW25+SBW25F*
3;S;15;W;8;18;11;2;20;SBW25F*;SBW25+SBW25F*
3;W;15;AL;1;3;0;3;20;SBW25;SBW25+SBW25F*
3;S;15;AL;5;5;2;2;20;SBW25;SBW25+SBW25F*
3;W;16;AL;11;4;5;3;20;MT48;MT12S+MT48
3;S;16;AL;2;6;6;2;20;MT48;MT12S+MT48
3;W;16;dT;2;0;1;3;20;MT12S;MT12S+MT48
3;S;16;dT;1;0;3;2;20;MT12S;MT12S+MT48
4;W;12;W;5;7;6;4;20;MT12*;MT12*+MTdT
4;S;12;W;6;5;5;2;20;MT12*;MT12*+MTdT
4;W;12;dT;0;0;0;4;20;MTdT;MT12*+MTdT
4;S;12;dT;2;1;2;2;20;MTdT;MT12*+MTdT
4;W;13;W;29;30;43;3;20;MT22;MT22+MTdT
4;S;13;W;33;43;32;2;20;MT22;MT22+MTdT
4;W;13;dT;11;10;11;3;20;MTdT;MT22+MTdT
4;S;13;dT;14;9;11;2;20;MTdT;MT22+MTdT
4;W;14;AL;;;;;20;MT48;MT48+MTdT
4;S;14;AL;;;;;20;MT48;MT48+MTdT
4;W;14;dT;;;;;20;MTdT;MT48+MTdT
4;S;14;dT;;;;;20;MTdT;MT48+MTdT
4;W;15;W;7;5;7;4;20;SBW25F*;SBW25+SBW25F*
4;S;15;W;;;;;20;SBW25F*;SBW25+SBW25F*
4;W;15;AL;3;1;3;4;20;SBW25;SBW25+SBW25F*
4;S;15;AL;;;;;20;SBW25;SBW25+SBW25F*
4;W;16;AL;7;6;8;4;20;MT48;MT12S+MT48
4;S;16;AL;1;0;1;3;20;MT48;MT12S+MT48
4;W;16;dT;12;16;11;4;20;MT12S;MT12S+MT48
4;S;16;dT;5;3;3;3;20;MT12S;MT12S+MT48
5;W;12;W;4;3;3;3;20;MT12*;MT12*+MTdT
5;S;12;W;14;8;8;2;20;MT12*;MT12*+MTdT
5;W;12;dT;0;0;1;3;20;MTdT;MT12*+MTdT
5;S;12;dT;0;1;2;2;20;MTdT;MT12*+MTdT
5;W;13;W;14;16;26;3;20;MT22;MT22+MTdT
5;S;13;W;2;3;2;3;20;MT22;MT22+MTdT
5;W;13;dT;1;1;2;3;20;MTdT;MT22+MTdT
5;S;13;dT;1;0;0;3;20;MTdT;MT22+MTdT
5;W;14;AL;17;14;11;3;20;MT48;MT48+MTdT
5;S;14;AL;4;2;2;3;20;MT48;MT48+MTdT
5;W;14;dT;9;12;7;3;20;MTdT;MT48+MTdT
5;S;14;dT;3;1;2;3;20;MTdT;MT48+MTdT
5;W;15;W;13;11;12;3;20;SBW25F*;SBW25+SBW25F*
5;S;15;W;3;0;1;3;20;SBW25F*;SBW25+SBW25F*
5;W;15;AL;6;5;3;3;20;SBW25;SBW25+SBW25F*
5;S;15;AL;2;2;1;3;20;SBW25;SBW25+SBW25F*
5;W;16;AL;5;8;6;2;20;MT48;MT12S+MT48
5;S;16;AL;1;3;0;2;20;MT48;MT12S+MT48
5;W;16;dT;7;9;9;2;20;MT12S;MT12S+MT48
5;S;16;dT;3;1;3;2;20;MT12S;MT12S+MT48
