"pop","rep","morphotype","treatE","morphology","morph.simple.x","swarm24h","morph.simple.y","expand3d"
1,1,"MT1","bi","anc.like","smooth",0.523875583203732,"smooth",0.82199533437014
1,1,"MT2","bi","fuzzy","fuzzy",0.543457231726283,"fuzzy",1.10424261275272
1,1,"MT28","mono","wet+flat","smooth",3.02223639191291,"smooth",0.824542768273717
1,1,"MT29","mono","anc.wet","smooth",0.384284603421462,"smooth",0.991749611197512
1,1,"MT3","bi","anc.wet","smooth",0.476902021772939,"smooth",0.9720699844479
1,1,"MT4","bi","wrinkly","wrinkly",0.481618973561431,"wrinkly",0.795737169517885
1,1,"MT48","anc","anc","anc",3.19565785381026,"anc",0.821365474339036
1,1,"MT5","bi","wrinkly","wrinkly",0.44242768273717,"wrinkly",0.586021772939347
1,1,"MT6","bi","anc.var","smooth",3.29903888024883,"smooth",1.01534836702955
1,1,"MT7","bi","anc.like","smooth",2.81977138413686,"smooth",0.887206842923795
1,2,"MT1","bi","anc.like","smooth",0.461687402799378,"smooth",0.828335925349922
1,2,"MT2","bi","fuzzy","fuzzy",0.590164852255054,"fuzzy",1.04059875583204
1,2,"MT28","mono","wet+flat","smooth",2.90512441679627,"smooth",0.898908242612753
1,2,"MT29","mono","anc.wet","smooth",0.384284603421462,"smooth",0.83399066874028
1,2,"MT3","bi","anc.wet","smooth",0.450993779160187,"smooth",0.85644167962675
1,2,"MT4","bi","wrinkly","wrinkly",0.455612752721617,"wrinkly",0.713099533437014
1,2,"MT48","anc","anc","anc",3.72989113530327,"anc",0.678303265940902
1,2,"MT5","bi","wrinkly","wrinkly",0.46805598755832,"wrinkly",0.728790046656299
1,2,"MT6","bi","anc.var","smooth",3.13758475894246,"smooth",0.955987558320373
1,2,"MT7","bi","anc.like","smooth",3.52543856920684,"smooth",0.905276827371695
1,3,"MT1","bi","anc.like","smooth",0.50250233281493,"smooth",0.915228615863142
1,3,"MT2","bi","fuzzy","fuzzy",0.513475894245723,"fuzzy",1.24381959564541
1,3,"MT28","mono","wet+flat","smooth",2.29154276827372,"smooth",0.82643234836703
1,3,"MT29","mono","anc.wet","smooth",0.30892534992224,"smooth",0.887206842923795
1,3,"MT3","bi","anc.wet","smooth",0.589269051321928,"smooth",0.804443234836703
1,3,"MT4","bi","wrinkly","wrinkly",0.440454121306376,"wrinkly",0.777807153965785
1,3,"MT48","anc","anc","anc",3.49552721617418,"anc",0.702755832037325
1,3,"MT5","bi","wrinkly","wrinkly",0.513475894245723,"wrinkly",0.688241057542768
1,3,"MT6","bi","anc.var","smooth",3.43105754276827,"smooth",0.887206842923795
1,3,"MT7","bi","anc.like","smooth",2.65329237947123,"smooth",0.803351477449456
2,1,"MT30","mono","anc.var","smooth",2.73296267496112,"smooth",0.877339035769829
2,1,"MT31","mono","wet+flat","smooth",0.410570762052877,"smooth",0.752304821150855
2,1,"MT32","mono","fuzzy","fuzzy",0.567601866251944,"fuzzy",1.1254898911353
2,1,"MT48","anc","anc","anc",2.30215241057543,"anc",0.958353032659409
2,1,"MT8","bi","wrinkly","wrinkly",0.49798133748056,"wrinkly",0.620370139968896
2,1,"MT9","bi","wrinkly","wrinkly",0.54153965785381,"wrinkly",0.811119751166407
2,2,"MT30","mono","anc.var","smooth",2.8523701399689,"smooth",0.884841368584759
2,2,"MT31","mono","wet+flat","smooth",0.443603421461897,"smooth",0.802707620528771
2,2,"MT32","mono","fuzzy","fuzzy",0.635626749611197,"fuzzy",1.08499688958009
2,2,"MT48","anc","anc","anc",1.8812099533437,"anc",0.81305132192846
2,2,"MT8","bi","wrinkly","wrinkly",0.504237947122862,"wrinkly",0.679325038880249
2,2,"MT9","bi","wrinkly","wrinkly",0.516177293934681,"wrinkly",0.701272161741835
2,3,"MT30","mono","anc.var","smooth",2.65821928460342,"smooth",0.978494556765163
2,3,"MT31","mono","wet+flat","smooth",0.548888024883359,"smooth",0.839813374805599
2,3,"MT32","mono","fuzzy","fuzzy",0.652926905132193,"fuzzy",1.08338724727838
2,3,"MT48","anc","anc","anc",2.41006842923795,"anc",0.818608087091757
2,3,"MT8","bi","wrinkly","wrinkly",0.496931570762053,"wrinkly",0.683412130637636
2,3,"MT9","bi","wrinkly","wrinkly",0.597485225505443,"wrinkly",0.637810264385692
3,1,"MT10","bi","anc.var","smooth",0.598367029548989,"smooth",0.803351477449456
3,1,"MT11","bi","fuzzy","fuzzy",0.534415241057543,"fuzzy",0.797262830482115
3,1,"MT12","bi","wrinkly","wrinkly",0.425575427682737,"wrinkly",0.742996889580093
3,1,"MT13","bi","anc.var","smooth",4.9346034214619,"smooth",0.984877138413686
3,1,"MT14","bi","wrinkly","wrinkly",0.507681181959565,"wrinkly",0.71699066874028
3,1,"MT16","bi","anc.wet","smooth",4.00379626749611,"smooth",1.07288958009331
3,1,"MT33","mono","anc.var","smooth",3.69848211508554,"smooth",1.04510575427683
3,1,"MT34","mono","anc.var","smooth",3.74443390357698,"smooth",0.701272161741835
3,1,"MT35","mono","fuzzy","fuzzy",0.618116640746501,"fuzzy",1.31713530326594
3,1,"MT36","mono","fuzzy","fuzzy",0.660345256609642,"fuzzy",1.28554432348367
3,1,"MT48","anc","anc","anc",4.9743265940902,"anc",1.00932970451011
3,2,"MT10","bi","anc.var","smooth",0.644598755832037,"smooth",0.81305132192846
3,2,"MT11","bi","fuzzy","fuzzy",0.672886469673406,"fuzzy",0.83399066874028
3,2,"MT12","bi","wrinkly","wrinkly",0.513475894245723,"wrinkly",0.787590979782271
3,2,"MT13","bi","anc.var","smooth",2.70496889580093,"smooth",1.04576360808709
3,2,"MT14","bi","wrinkly","wrinkly",0.871362363919129,"wrinkly",0.718208398133748
3,2,"MT16","bi","anc.wet","smooth",4.39964230171073,"smooth",0.937035769828927
3,2,"MT33","mono","anc.var","smooth",5.00079471228616,"smooth",1.31871695178849
3,2,"MT34","mono","anc.var","smooth",4.61855365474339,"smooth",0.868353032659409
3,2,"MT35","mono","fuzzy","fuzzy",0.661926905132193,"fuzzy",1.19978538102644
3,2,"MT36","mono","fuzzy","fuzzy",0.649987558320373,"fuzzy",1.39907309486781
3,2,"MT48","anc","anc","anc",5.66025816485226,"anc",1.21306842923795
3,3,"MT10","bi","anc.var","smooth",0.634800933125972,"smooth",0.810265940902022
3,3,"MT11","bi","fuzzy","fuzzy",0.696793157076205,"fuzzy",0.728790046656299
3,3,"MT12","bi","wrinkly","wrinkly",0.559875583203733,"wrinkly",0.851136858475894
3,3,"MT13","bi","anc.var","smooth",3.39662519440124,"smooth",0.823898911353033
3,3,"MT14","bi","wrinkly","wrinkly",0.674174183514774,"wrinkly",0.745096423017107
3,3,"MT16","bi","anc.wet","smooth",3.68616485225505,"smooth",1.1100933125972
3,3,"MT33","mono","anc.var","smooth",5.38632503888025,"smooth",1.15722083981337
3,3,"MT34","mono","anc.var","smooth",4.86064385692068,"smooth",0.919021772939347
3,3,"MT35","mono","fuzzy","fuzzy",1.04460186625194,"fuzzy",1.19978538102644
3,3,"MT36","mono","fuzzy","fuzzy",0.671850699844479,"fuzzy",1.32083048211509
3,3,"MT48","anc","anc","anc",5.50591446345257,"anc",0.696793157076205
4,1,"MT17","bi","wrinkly","wrinkly",0.600984447900466,"wrinkly",0.699536547433904
4,1,"MT19","bi","anc.var","smooth",3.60186158631415,"smooth",0.989818040435459
4,1,"MT20","bi","wrinkly","wrinkly",0.421040435458787,"wrinkly",0.581234836702955
4,1,"MT37","mono","wet+flat","smooth",0.488449455676516,"smooth",1.20601399688958
4,1,"MT38","mono","fuzzy","fuzzy",1.77950855365474,"fuzzy",1.0347200622084
4,1,"MT39","mono","wet+flat","smooth",0.460931570762053,"smooth",0.988236391912908
4,1,"MT40","mono","anc.wet","smooth",0.597485225505443,"smooth",1.3355132192846
4,1,"MT48","anc","anc","anc",3.70270917573872,"anc",0.97044634525661
4,2,"MT17","bi","wrinkly","wrinkly",0.581234836702955,"wrinkly",0.989286158631415
4,2,"MT19","bi","anc.var","smooth",3.19434214618974,"smooth",1.11990513219285
4,2,"MT20","bi","wrinkly","wrinkly",0.443603421461897,"wrinkly",0.750219284603421
4,2,"MT37","mono","wet+flat","smooth",0.553940902021773,"smooth",1.06834059097978
4,2,"MT38","mono","fuzzy","fuzzy",1.86662519440124,"fuzzy",1.10504043545879
4,2,"MT39","mono","wet+flat","smooth",0.572486780715397,"smooth",1.48645567651633
4,2,"MT40","mono","anc.wet","smooth",0.635626749611197,"smooth",1.47539813374806
4,2,"MT48","anc","anc","anc",3.52563452566096,"anc",1.02490824261275
4,3,"MT17","bi","wrinkly","wrinkly",0.646754276827372,"wrinkly",0.779598755832037
4,3,"MT19","bi","anc.var","smooth",3.11418195956454,"smooth",0.919021772939347
4,3,"MT20","bi","wrinkly","wrinkly",0.602426127527216,"wrinkly",0.804443234836703
4,3,"MT37","mono","wet+flat","smooth",0.489863141524106,"smooth",1.03707153965785
4,3,"MT38","mono","fuzzy","fuzzy",2.52503888024883,"fuzzy",1.09728615863142
4,3,"MT39","mono","wet+flat","smooth",0.636984447900467,"smooth",1.0139766718507
4,3,"MT40","mono","anc.wet","smooth",0.609326594090202,"smooth",1.20961119751166
4,3,"MT48","anc","anc","anc",3.68295956454121,"anc",1.02490824261275
5,1,"MT21","bi","wrinkly","wrinkly",0.602211508553655,"wrinkly",0.910063763608087
5,1,"MT22","bi","wrinkly","wrinkly",0.668416796267496,"wrinkly",0.993937791601866
5,1,"MT23","bi","anc.wet","smooth",1.19959409020218,"smooth",2.2050233281493
5,1,"MT41","mono","anc.var","smooth",0.775404354587869,"smooth",1.57726283048212
5,1,"MT42","mono","wet+flat","smooth",1.14448833592535,"smooth",2.33725194401244
5,1,"MT48","anc","anc","anc",1.48645567651633,"anc",0.88503732503888
5,2,"MT21","bi","wrinkly","wrinkly",0.717298600311042,"wrinkly",0.988077760497667
5,2,"MT22","bi","wrinkly","wrinkly",0.589763608087092,"wrinkly",1.112533437014
5,2,"MT23","bi","anc.wet","smooth",1.50355054432348,"smooth",2.06551166407465
5,2,"MT41","mono","anc.var","smooth",0.99445101088647,"smooth",1.83741368584759
5,2,"MT42","mono","wet+flat","smooth",1.54220528771384,"smooth",1.26162363919129
5,2,"MT48","anc","anc","anc",0.990517884914463,"anc",0.926566096423017
5,3,"MT21","bi","wrinkly","wrinkly",0.506804043545879,"wrinkly",0.693116640746501
5,3,"MT22","bi","wrinkly","wrinkly",0.582961119751166,"wrinkly",0.611785381026439
5,3,"MT23","bi","anc.wet","smooth",1.50646189735614,"smooth",1.06430482115086
5,3,"MT41","mono","anc.var","smooth",1.16722861586314,"smooth",1.2204867807154
5,3,"MT42","mono","wet+flat","smooth",1.00858786936236,"smooth",0.974211508553655
5,3,"MT48","anc","anc","anc",0.702517884914463,"anc",1.28986936236392
6,1,"MT25","bi","wrinkly","wrinkly",0.544101088646967,"wrinkly",0.646754276827372
6,1,"MT26","bi","wrinkly","wrinkly",0.613875583203732,"wrinkly",0.597485225505443
6,1,"MT27","bi","fuzzy","fuzzy",0.633975116640746,"fuzzy",1.56765163297045
6,1,"MT44","mono","anc.wet","smooth",1.14998444790047,"smooth",0.919021772939347
6,1,"MT45","mono","anc.wet","smooth",0.443603421461897,"smooth",0.989286158631415
6,1,"MT46","mono","fuzzy","fuzzy",0.63452099533437,"fuzzy",1.38567807153966
6,1,"MT47","mono","anc.wet","smooth",1.19396267496112,"smooth",0.990699844479005
6,1,"MT48","anc","anc","anc",0.987704510108865,"anc",1.27794401244168
6,2,"MT25","bi","wrinkly","wrinkly",0.538628304821151,"wrinkly",0.738293934681182
6,2,"MT26","bi","wrinkly","wrinkly",0.568819595645412,"wrinkly",0.953440124416796
6,2,"MT27","bi","fuzzy","fuzzy",0.675979782270607,"fuzzy",1.34382737169518
6,2,"MT44","mono","anc.wet","smooth",1.91133125972006,"smooth",0.985409020217729
6,2,"MT45","mono","anc.wet","smooth",0.429648522550544,"smooth",1.21091290824261
6,2,"MT46","mono","fuzzy","fuzzy",0.620370139968896,"fuzzy",1.30224261275272
6,2,"MT47","mono","anc.wet","smooth",1.80554276827372,"smooth",0.821365474339036
6,2,"MT48","anc","anc","anc",1.37648211508554,"anc",0.97653499222395
6,3,"MT25","bi","wrinkly","wrinkly",0.625954898911353,"wrinkly",0.88503732503888
6,3,"MT26","bi","wrinkly","wrinkly",0.561121306376361,"wrinkly",0.841674961119751
6,3,"MT27","bi","fuzzy","fuzzy",0.576125972006221,"fuzzy",1.40080870917574
6,3,"MT44","mono","anc.wet","smooth",2.41447744945568,"smooth",0.926762052877138
6,3,"MT45","mono","anc.wet","smooth",0.556754276827372,"smooth",0.956351477449456
6,3,"MT46","mono","fuzzy","fuzzy",0.64352099533437,"fuzzy",1.34084603421462
6,3,"MT47","mono","anc.wet","smooth",1.1904634525661,"smooth",1.06393157076205
6,3,"MT48","anc","anc","anc",1.33081026438569,"anc",1.02779160186625
